Year,American,Continental,Delta,Northwest,United,US Airways,America West, --sub Network,Southwest,jetBlue,AirTran,Frontier,Virgin America, -- sub LCC,Alaska,Hawaiian,Spirit,Allegiant, -- sub Other,Total All Sectors,Total Industry
1995,15610201000.0,4919025000.0,12557276000.0,8908851000.0,14894761000.0,6984876000.0,1561848630.0,65436838630.00001,2873482000.0,0.0,0.0,55850340.0,0.0,2929332340.0,1162878000.0,346904030.00000006,53611670.0,0.0,1563393700.0000002,69929564670.00002,94317932279.99998
1996,15136003000.0,5487150000.0,13317693000.0,9751383000.0,16316749000.000002,7704057000.0,1751812890.0,69464847890.0,3407361000.0,0.0,0.0,109511360.00000001,0.0,3516872360.0,1306621000.0,384472779.99999994,62742170.0,0.0,1753835950.0,74735556199.99998,101937346090.00003
1997,15855804000.0,6360742000.0,14203939000.0,9983693000.0,17335185000.0,8501485000.000001,1887135429.9999998,74127983430.0,3816997000.0,0.0,105597460.0,138323250.0,0.0,4060917710.0,1457429000.0,404216360.00000006,81085869.99999999,0.0,1942731230.0000002,80131632370.0,109567601840.00005
1998,16298846000.000002,7298958000.0,14629825000.0,8706718000.0,17517545000.0,8555664000.0,1982974039.9999998,74990530040.0,4164040000.0,0.0,369245820.0,192318830.0,0.0,4725604649.999999,1581276000.0,426415190.0,130563060.00000001,0.0,2138254250.0000002,81854388940.0,113105119670.0
1999,16090263000.0,8026597000.000001,14901352000.0,9868061000.0,17966701000.0,8460361000.000001,2163986430.0,77477321430.0,4735648000.0,0.0,523467900.0,307487040.00000006,0.0,5566602940.0,1695591000.0,488876240.0,227095620.0,0.0,2411562860.0,85455487230.0,118892025940.00006
2000,18117124000.0,9129295000.0,15320850000.0,10956638000.0,19331280000.0,9181238000.0,2309326110.0000005,84345751110.00002,5649621000.0,105248029.99999999,624094540.0000001,450610240.0,0.0,6829573809.999999,1759867000.0,607220400.0,312236840.0,0.0,2679324240.0,93854649160.00002,130248220289.99995
2001,15638794000.0,7971663000.0,13211188000.0,9591793000.0,16087368999.999998,8253356000.0,2035474290.0000002,72789637289.99998,5555235000.0,320413800.0,665163320.0,446652200.0,0.0,6987464320.0,1763063000.0,611582900.0,375192529.99999994,0.0,2749838430.0,82526940039.99998,115226970150.00009
2002,15870616000.0,7352780000.0,12410395000.0,9151583000.0,13915601000.0,6914919000.0,2020996930.0,67636890930.00001,5521829000.0,635191070.0000001,733369960.0,464615520.0,0.0,7355005550.0,1832391000.0,632037980.0000001,404343780.00000006,0.0,2868772760.0,77860669240.0,107124627240.00005
2003,17403324000.0,7333412000.0,14203030000.0,9183813000.0,13397729000.0,6761645000.0,2223348440.0,70506301439.99998,5936696000.0,998351159.9999999,918039450.0,590062740.0,0.0,8443149350.000001,2027375999.9999998,706144260.0,450066680.0,0.0,3183586939.9999995,82133037729.99998,117768015270.00005
2004,18607553000.0,9851366000.0,15154479000.0,11265608000.0,15701169000.0,7073132000.0,2481515690.0,80134822690.0,6529620000.0,1265971639.9999998,1041422389.9999999,787227419.9999999,0.0,9624241450.000002,2241387000.0,784687180.0,483266330.0,101946370.0,3611286880.0,93370351019.99998,134621788870.00002
2005,20657147000.0,11108038000.0,16111713000.000002,12315547000.0,17304154000.0,7212379000.0,3397189000.0,88106167000.0,7583837000.0,1703180750.0,1450543360.0,960340230.0,0.0,11697901340.0,2416130000.0,823881310.0,484449290.00000006,132500970.0,3856961570.0,103661029910.0,151254677100.00003
2006,20657147000.0,13010390000.0,17339136000.0,12554941000.0,19333859000.0,11845203130.000002,0.0,94740676130.0,9086299000.0,2363257660.0000005,1893355009.9999995,1131705280.0,0.0,14474616950.0,2692507000.0,881599390.0,540294349.9999999,229858000.0,4344258740.0,113559551820.0,164623097710.0
2007,22493347000.0,14105361000.0,19238800000.0,12734621000.0,20049094000.0,12054991190.0,0.0,100676214190.0,9860783000.0,2843154620.0,2308824010.0,1334363910.0,16154880.0,16363280419.999998,3076265000.0,982746450.0,761584540.0000001,340054000.0,5160649990.0,122200144599.99998,173108072059.99997
2008,23696099000.0,15032887000.0,20972590000.0,14095692000.0,20237248000.0,12459196539.999998,0.0,106493712539.99998,11023243000.0,3390181430.0,2552478100.0,1370900000.0,369248050.0,18706050580.0,3221431000.0,1211733180.0,791001430.0,483080000.0,5707245610.0,130907008729.99997,185676463469.99994
2009,19898245000.0,12361386000.0,18046578000.0,10863304000.0,16359238000.000002,10780838000.0,0.0,88309589000.0,10350338000.0,3287411890.0,2341442180.0,1113397110.0,547645240.0,17640234420.000004,3005999000.0,1183618680.0,698966000.0,536464999.99999994,5425048680.0,111374872100.0,154719237989.99994
2010,22150940000.0,14011495000.0,31893702000.0,0.0,19682320000.0,12195807000.0,0.0,99934264000.00002,12103710000.0,3780816440.0000005,2619172239.9999995,1316948800.0,724877360.0,20545524840.0,3426625000.0,1312221100.0,778904880.0,635459000.0,6153209980.0,126632998820.00002,174677395010.00006
2011,23957564859.999996,16174879000.0,35315717000.0,0.0,21155217710.000004,13340511360.0,0.0,109943889930.00002,13654641000.0,4508899360.0,2941624809.9999995,1661913750.0,1037108630.0000001,23804187550.0,4309602000.0,1651121130.0,1071186640.0000001,745038099.9999999,7776947870.000001,141525025350.00003,193040699220.00003
2012,24825067000.0,0.0,36916967000.0,0.0,37160167200.0,14121027100.0,0.0,113023228300.0,17087612000.0,4982013790.000001,0.0,1433465509.9999998,1332837220.0,24835928520.000004,4650001000.0,1962569960.0,1318387510.0,869236490.0,8800194959.999998,146659351780.0,196105250449.9999
2013,25760245000.0,0.0,37818194000.0,0.0,38287133729.99999,14935550740.0,0.0,116801123470.0,17699434000.0,5441827630.0,0.0,1348551480.0,1424678100.0000002,25914491210.0,5150814000.0,2155554200.0,1654384849.9999998,957823950.0,9918577000.0,152634191680.0,200244883860.00006
2014,27140391000.0,0.0,40426454000.0,0.0,38900518570.0,15750071910.0,0.0,122217435480.0,18605116000.0,5816877270.0,0.0,1574869290.0,1489966730.0000002,27486829289.999996,5363353000.0,2311200890.0000005,1931581080.0000002,1099662420.0,10705797390.0,160410062160.0,207713887300.00006
2015,41084425509.99999,0.0,40815767000.0,0.0,37864132220.00001,0.0,0.0,119764324730.0,19820110000.0,6416126920.0,0.0,1604012260.0,1529584259.9999998,29369833440.0,5594087000.0,2313156730.0,2141462720.0000002,1221507480.0,11270213929.999998,160404372100.00003,205360892950.00003
2016,40421537150.0,0.0,39849613000.0,0.0,36555880230.00001,0.0,0.0,116827030380.0,20425210000.0,6632432590.000001,0.0,1713577379.9999998,1664991489.9999998,30436211460.0,5827853000.0,2441524609.9999995,2321956740.0,1317314580.0000002,11908648930.0,159171890770.0,200413561330.00003
2017,42195316279.99999,0.0,41475860000.0,0.0,37736310790.0,0.0,0.0,121407487070.0,21170660000.0,7015326140.000001,0.0,1914740189.9999998,1640516690.0,31741243020.000004,6287852000.0,2687918550.0000005,2647665680.0,1443615900.0000002,13067052130.0,166215782220.00003,222127901510.0
2018,44529813950.00001,0.0,44537997000.0,0.0,41303230299.99999,0.0,0.0,130371041249.99998,21965049000.0,7658451019.999999,0.0,2155857860.0,0.0,31779357880.000004,8259807000.0,2827215520.0,3323035420.0,1596807790.0,16006865730.000002,178157264860.0,200413561330.00003
